dummy,dummy,logreg,logreg,svc,svc,logreg_bal,logreg_bal,svc_bal,svc_bal
mean,std,mean,std,mean,std,mean,std,mean,std
0.158,0.04,0.635,0.027,27.011,0.726,0.605,0.014,50.953,1.942
0.122,0.033,0.18,0.006,4.786,0.215,0.188,0.012,8.891,0.471
0.883,0.0,0.9,0.004,0.899,0.003,0.829,0.005,0.814,0.007
0.883,0.0,0.9,0.0,0.906,0.0,0.83,0.001,0.824,0.001
0.0,0.0,0.653,0.041,0.657,0.035,0.386,0.007,0.369,0.011
0.0,0.0,0.655,0.003,0.724,0.004,0.387,0.001,0.387,0.001
0.0,0.0,0.314,0.022,0.291,0.016,0.778,0.013,0.823,0.016
0.0,0.0,0.314,0.004,0.324,0.004,0.779,0.001,0.863,0.004
0.0,0.0,0.423,0.025,0.403,0.016,0.516,0.007,0.509,0.013
0.0,0.0,0.425,0.004,0.448,0.004,0.517,0.001,0.534,0.001
